"RNA_ID"	"SEX"	"ORIGIN"	"LAB"	"INDIVIDUAL"	"phase1TG"	"OUTRIDER_GROUP"	"PAIRED_END"	"COUNT_MODE"	"COUNT_OVERLAP"	"COUNT_AS_STRANDED"
"NA20544.4.M_120208_5"	"male"	"Tuscan"	"ICMB"	"NA20544"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20582.4.M_120208_2"	"female"	"Tuscan"	"ICMB"	"NA20582"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20589.1.M_111124_3"	"female"	"Tuscan"	"UNIGE"	"NA20589"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20754.4.M_120208_1"	"male"	"Tuscan"	"ICMB"	"NA20754"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20771.2.M_111215_7"	"female"	"Tuscan"	"CNAG_CRG"	"NA20771"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20778.4.M_120208_1"	"male"	"Tuscan"	"ICMB"	"NA20778"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20785.4.M_120208_1"	"male"	"Tuscan"	"ICMB"	"NA20785"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20796.1.M_120209_2"	"male"	"Tuscan"	"UNIGE"	"NA20796"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20799.1.M_111124_3"	"female"	"Tuscan"	"UNIGE"	"NA20799"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20804.4.M_120208_1"	"female"	"Tuscan"	"ICMB"	"NA20804"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20805.4.M_120208_7"	"male"	"Tuscan"	"ICMB"	"NA20805"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20811.1.M_111124_5"	"male"	"Tuscan"	"UNIGE"	"NA20811"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
